Team,Series Won,Series Lost,Games Won,Games Lost,Series Win %,Game Win %
Los Big Dig,8,0,16,2,1.0,0.8888888888888888
DD4t Paprika,7,1,15,3,0.875,0.8333333333333334
League of Lumni,7,1,14,5,0.875,0.7368421052631579
Iron Dragons,5,3,11,7,0.625,0.6111111111111112
LPP Boiz,4,4,9,10,0.5,0.47368421052631576
Hardstuck Casterlow,4,4,9,11,0.5,0.45
Team Volatility Vortex,4,4,9,11,0.5,0.45
Big Pharma,3,5,9,12,0.375,0.42857142857142855
Forge Esports Chaos,2,6,9,12,0.25,0.42857142857142855
Jobless Piggies,2,6,5,14,0.25,0.2631578947368421
Nefarious Implications,1,7,5,14,0.125,0.2631578947368421
High Alert Engineers,1,7,4,14,0.125,0.2222222222222222
